Plant_ID,Nom_scientifique,Constituant,Classe_chimique,Partie_utilisee,Source,Statut,Nom_PubChem,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,IUPACName,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Title
PL001,Acacia nilotica,Quercétine,Flavonoïde,fruit,PubMed/revue scientifique,À vérifier,quercetin,5280343,C15H10O7,302.23,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",1.5,127,5,7,1,22,Quercetin
PL001,Acacia nilotica,Rutine,Flavonoïde,fruit,PubMed/revue scientifique,À vérifier,rutin,5280805,C27H30O16,610.5,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",-1.3,266,10,16,6,43,Rutin
PL001,Acacia nilotica,Kaempférol,Flavonoïde,fruit,PubMed/revue scientifique,À vérifier,kaempferol,5280863,C15H10O6,286.24,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",1.9,107,4,6,1,21,Kaempferol
PL001,Acacia nilotica,Naringénine,Flavonoïde,fruit,PubMed/revue scientifique,À vérifier,naringenin,439246,C15H12O5,272.25,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,"(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",2.4,87,3,5,1,20,Naringenin
PL001,Acacia nilotica,Catéchine,Flavan-3-ol,fruit,PubMed/revue scientifique,À vérifier,catechin,9064,C15H14O6,290.27,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",0.4,110,5,6,1,21,Catechin
PL001,Acacia nilotica,Épicatéchine,Flavan-3-ol,fruit,PubMed/revue scientifique,À vérifier,epicatechin,72276,C15H14O6,290.27,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",0.4,110,5,6,1,21,Epicatechin
PL001,Acacia nilotica,Acide gallique,Acide phénolique,fruit,PubMed/revue scientifique,À vérifier,gallic acid,370,C7H6O5,170.12,C1=C(C=C(C(=C1O)O)O)C(=O)O,C1=C(C=C(C(=C1O)O)O)C(=O)O,"3,4,5-trihydroxybenzoic acid",0.7,98,4,5,1,12,Gallic Acid
PL001,Acacia nilotica,Acide ellagique,Polyphénol,fruit,PubMed/revue scientifique,À vérifier,ellagic acid,5281855,C14H6O8,302.19,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,"6,7,13,14-tetrahydroxy-2,9-dioxatetracyclo[6.6.2.04,16.011,15]hexadeca-1(15),4,6,8(16),11,13-hexaene-3,10-dione",1.1,134,4,8,0,22,Ellagic Acid
