Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,Source_toxicologie,Plante,Partie_utilisee,Statut_donnees,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes_lourds,Anneaux,Liaisons_rotatables,LD50_mg_kg,LogLD50,Toxicite,Risque,RKdit_masse_molaire
CID_1057,Industrial,1057,C6H6O3,126.11,0.5,3,3,60.7,C1=CC(=C(C(=C1)O)O)O,PubChem,,,,Structure_PubChem,126.111,0.8034,3,3,60.69,9,1,0,,,,,126.111
CID_1140,Industrial,1140,C7H8,92.14,2.7,0,0,0.0,CC1=CC=CC=C1,PubChem,,,,Structure_PubChem,92.141,1.995,0,0,0.0,7,1,0,,,,,92.141
CID_1491,Industrial,1491,C7H6O4,154.12,1.6,3,4,77.8,C1=CC(=C(C=C1O)O)C(=O)O,PubChem,,,,Structure_PubChem,154.121,0.796,3,3,77.76,11,1,1,,,,,154.121
CID_1752,Industrial,1752,C15H24O,220.35,5.9,1,1,20.2,CCCCCCCCCC1=CC=C(C=C1)O,PubChem,,,,Structure_PubChem,220.356,4.6853,1,1,20.23,16,1,8,,,,,220.356
CID_2244,Industrial,2244,C9H8O4,180.16,1.2,1,4,63.6,CC(=O)OC1=CC=CC=C1C(=O)O,PubChem,,,,Structure_PubChem,180.159,1.3101,1,3,63.6,13,1,2,,,,,180.159
CID_2741,Industrial,2741,C10H6O4,190.15,1.6,1,4,63.6,C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O,PubChem,,,,Structure_PubChem,190.154,1.4912,1,3,67.51,14,2,1,,,,,190.154
CID_2879,Industrial,2879,C7H8O,108.14,1.9,1,1,20.2,CC1=CC=C(C=C1)O,PubChem,,,,Structure_PubChem,108.14,1.7006,1,1,20.23,8,1,0,,,,,108.14
CID_3418,Industrial,3418,C7H7O6P,218.10,0,3,6,104.0,C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O,PubChem,,,,Structure_PubChem,218.101,0.8563,3,3,104.06,14,1,3,,,,,218.101
CID_3469,Industrial,3469,C7H6O4,154.12,1.6,3,4,77.8,C1=CC(=C(C=C1O)C(=O)O)O,PubChem,,,,Structure_PubChem,154.121,0.796,3,3,77.76,11,1,1,,,,,154.121
CID_4133,Industrial,4133,C8H8O3,152.15,2.3,1,3,46.5,COC(=O)C1=CC=CC=C1O,PubChem,,,,Structure_PubChem,152.149,1.1788,1,3,46.53,11,1,1,,,,,152.149
CID_4632,Industrial,4632,C14H12O3,228.24,3.6,1,3,46.5,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,PubChem,,,,Structure_PubChem,228.247,2.6318,1,3,46.53,17,2,3,,,,,228.247
CID_4684,Industrial,4684,C6H5ClO,128.55,2.4,1,1,20.2,C1=CC(=CC=C1O)Cl,PubChem,,,,Structure_PubChem,128.558,2.0456,1,1,20.23,8,1,0,,,,,128.558
CID_4765,Industrial,4765,C6H6O4S,174.18,0.2,2,4,83.0,C1=CC(=CC=C1O)S(=O)(=O)O,PubChem,,,,Structure_PubChem,174.177,0.6389,2,3,74.6,11,1,1,,,,,174.177
CID_4778,Industrial,4778,C6H5AsO,168.02,,0,1,17.1,C1=CC=C(C=C1)[As]=O,PubChem,,,,Structure_PubChem,168.027,0.3616,0,1,17.07,8,1,1,,,,,168.027
CID_5054,Industrial,5054,C6H6O2,110.11,0.8,2,2,40.5,C1=CC(=CC(=C1)O)O,PubChem,,,,Structure_PubChem,110.112,1.0978,2,2,40.46,8,1,0,,,,,110.112
CID_5128,Industrial,5128,C7H7I,218.03,2.9,0,0,0.0,CC1=CC=CC=C1I,PubChem,,,,Structure_PubChem,218.037,2.5996,0,0,0.0,8,1,0,,,,,218.037
CID_5146,Industrial,5146,C7H8O2,124.14,0.7,2,2,40.5,C1=CC=C(C(=C1)CO)O,PubChem,,,,Structure_PubChem,124.139,0.8845,2,2,40.46,9,1,1,,,,,124.139
CID_5161,Industrial,5161,C14H10O5,258.23,3,2,5,83.8,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,PubChem,,,,Structure_PubChem,258.229,2.3096,2,4,83.83,19,2,3,,,,,258.229
CID_5708,Industrial,5708,C10H8N2Se2,314.1,,0,2,47.6,C1=CC(=CC=C1C[Se]C#N)C[Se]C#N,PubChem,,,,Structure_PubChem,314.108,1.0572,0,2,47.58,14,1,4,,,,,314.108
CID_5788,Industrial,5788,C8H8O3,152.15,3,2,3,57.5,CC1=CC(=C(C=C1)C(=O)O)O,PubChem,,,,Structure_PubChem,152.149,1.3988,2,2,57.53,11,1,1,,,,,152.149
CID_6025,Industrial,6025,C20H16,256.3,6.1,0,0,0.0,C1=CC=C(C=C1)C=C(C2=CC=CC=C2)C3=CC=CC=C3,PubChem,,,,Structure_PubChem,256.348,5.2755,0,0,0.0,20,3,3,,,,,256.348
CID_6569,Industrial,6569,C4H8O,72.11,0.3,0,1,17.1,CCC(=O)C,PubChem,,,,Structure_PubChem,72.107,0.9854,0,1,17.07,5,0,1,,,,,72.107
CID_6738,Industrial,6738,C8H8O3,152.15,2.9,2,3,57.5,CC1=C(C(=CC=C1)C(=O)O)O,PubChem,,,,Structure_PubChem,152.149,1.3988,2,2,57.53,11,1,1,,,,,152.149
CID_6801,Industrial,6801,C21H26O4,342.4,6.5,2,4,66.8,CCCCCCCCOC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O,PubChem,,,,Structure_PubChem,342.435,5.0681,2,4,66.76,25,2,10,,,,,342.435
CID_6873,Industrial,6873,C11H14O3,194.23,3.9,1,3,46.5,CC(C)COC(=O)C1=CC=CC=C1O,PubChem,,,,Structure_PubChem,194.23,2.205,1,3,46.53,14,1,3,,,,,194.23
CID_6874,Industrial,6874,C12H16O3,208.25,4.6,1,3,46.5,CC(C)CCOC(=O)C1=CC=CC=C1O,PubChem,,,,Structure_PubChem,208.257,2.5951,1,3,46.53,15,1,4,,,,,208.257
CID_6880,Industrial,6880,C9H10O4,182.17,1.9,2,4,66.8,C1=CC=C(C(=C1)C(=O)OCCO)O,PubChem,,,,Structure_PubChem,182.175,0.5413,2,4,66.76,13,1,3,,,,,182.175
