Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,Source_toxicologie,Plante,Partie_utilisee,Statut_donnees,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes_lourds,Anneaux,Liaisons_rotatables,LD50_mg_kg,LogLD50,Toxicite,Risque,RKdit_masse_molaire,PubChem_CID,Formule_PubChem,Masse_molaire_PubChem,LogP_PubChem,HBD_PubChem,HBA_PubChem,TPSA_PubChem,Atomes_lourds_PubChem,Anneaux_PubChem,Liaisons_rotatables_PubChem,SMILES_isomerique,IUPAC_Name,PubChem_Statut,RDKit_Atomes_lourds,RDKit_Anneaux,RDKit_Liaisons_rotatables,Nom_original,Nom_PubChem,IUPAC_Name_PubChem,SMILES_PubChem,InChI_PubChem,InChIKey_PubChem
3-Hydroxybenzyl alcohol,Industrial,102,C7H8O2,124.14,0.5,2,2,40.5,C1=CC(=CC(=C1)O)CO,PubChem,,,,Structure_PubChem,124.139,0.8845,2,2,40.46,9,1,1,,,,,124.139,,C7H8O2,,,,,,,,,,,Trouvé,,,,CID_102,3-Hydroxybenzyl alcohol,3-(hydroxymethyl)phenol,C1=CC(=CC(=C1)O)CO,"InChI=1S/C7H8O2/c8-5-6-2-1-3-7(9)4-6/h1-4,8-9H,5H2",OKVJCVWFVRATSG-UHFFFAOYSA-N
4-Hydroxybenzyl Alcohol,Industrial,125,C7H8O2,124.14,0.2,2,2,40.5,C1=CC(=CC=C1CO)O,PubChem,,,,Structure_PubChem,124.139,0.8845,2,2,40.46,9,1,1,,,,,124.139,,C7H8O2,,,,,,,,,,,Trouvé,,,,CID_125,4-Hydroxybenzyl Alcohol,4-(hydroxymethyl)phenol,C1=CC(=CC=C1CO)O,"InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2",BVJSUAQZOZWCKN-UHFFFAOYSA-N
Acetone,Industrial,180,C3H6O,58.08,-0.1,0,1,17.1,CC(=O)C,PubChem,,,,Structure_PubChem,58.08,0.5953,0,1,17.07,4,0,0,,,,,58.08,,C3H6O,,,,,,,,,,,Trouvé,,,,CID_180,Acetone,propan-2-one,CC(=O)C,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CSCPPACGZOOCGX-UHFFFAOYSA-N
Benzene,Industrial,241,C6H6,78.11,2.1,0,0,0.0,C1=CC=CC=C1,PubChem,,,,Structure_PubChem,78.114,1.6866,0,0,0.0,6,1,0,,,,,78.114,,C6H6,,,,,,,,,,,Trouvé,,,,CID_241,Benzene,benzene,C1=CC=CC=C1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N
Catechol,Industrial,289,C6H6O2,110.11,0.9,2,2,40.5,C1=CC=C(C(=C1)O)O,PubChem,,,,Structure_PubChem,110.112,1.0978,2,2,40.46,8,1,0,,,,,110.112,,C6H6O2,,,,,,,,,,,Trouvé,,,,CID_289,Catechol,"benzene-1,2-diol",C1=CC=C(C(=C1)O)O,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N
Coumarin,Industrial,323,C9H6O2,146.14,1.4,0,2,26.3,C1=CC=C2C(=C1)C=CC(=O)O2,PubChem,,,,Structure_PubChem,146.145,1.793,0,2,30.21,11,2,0,,,,,146.145,,C9H6O2,,,,,,,,,,,Trouvé,,,,CID_323,Coumarin,chromen-2-one,C1=CC=C2C(=C1)C=CC(=O)O2,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N
O-Cresol,Industrial,335,C7H8O,108.14,2.0,1,1,20.2,CC1=CC=CC=C1O,PubChem,,,,Structure_PubChem,108.14,1.7006,1,1,20.23,8,1,0,,,,,108.14,,C7H8O,,,,,,,,,,,Trouvé,,,,CID_335,O-Cresol,2-methylphenol,CC1=CC=CC=C1O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",QWVGKYWNOKOFNN-UHFFFAOYSA-N
Salicylic Acid,Industrial,338,C7H6O3,138.12,2.3,2,3,57.5,C1=CC=C(C(=C1)C(=O)O)O,PubChem,,,,Structure_PubChem,138.122,1.0904,2,2,57.53,10,1,1,,,,,138.122,,C7H6O3,,,,,,,,,,,Trouvé,,,,CID_338,Salicylic Acid,2-hydroxybenzoic acid,C1=CC=C(C(=C1)C(=O)O)O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N
M-Cresol,Industrial,342,C7H8O,108.14,2.0,1,1,20.2,CC1=CC(=CC=C1)O,PubChem,,,,Structure_PubChem,108.14,1.7006,1,1,20.23,8,1,0,,,,,108.14,,C7H8O,,,,,,,,,,,Trouvé,,,,CID_342,M-Cresol,3-methylphenol,CC1=CC(=CC=C1)O,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",RLSSMJSEOOYNOY-UHFFFAOYSA-N
Phloroglucinol,Industrial,359,C6H6O3,126.11,0.2,3,3,60.7,C1=C(C=C(C=C1O)O)O,PubChem,,,,Structure_PubChem,126.111,0.8034,3,3,60.69,9,1,0,,,,,126.111,,C6H6O3,,,,,,,,,,,Trouvé,,,,CID_359,Phloroglucinol,"benzene-1,3,5-triol",C1=C(C=C(C=C1O)O)O,"InChI=1S/C6H6O3/c7-4-1-5(8)3-6(9)2-4/h1-3,7-9H",QCDYQQDYXPDABM-UHFFFAOYSA-N
Butanedione,Industrial,650,C4H6O2,86.09,-1.3,0,2,34.1,CC(=O)C(=O)C,PubChem,,,,Structure_PubChem,86.09,0.1644,0,2,34.14,6,0,1,,,,,86.09,,C4H6O2,,,,,,,,,,,Trouvé,,,,CID_650,Butanedione,"butane-2,3-dione",CC(=O)C(=O)C,InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3,QSJXEFYPDANLFS-UHFFFAOYSA-N
Dihydrocoumarin,Industrial,660,C9H8O2,148.16,1.6,0,2,26.3,C1CC(=O)OC2=CC=CC=C21,PubChem,,,,Structure_PubChem,148.161,1.5382,0,2,26.3,11,2,0,,,,,148.161,,C9H8O2,,,,,,,,,,,Trouvé,,,,CID_660,Dihydrocoumarin,"3,4-dihydrochromen-2-one",C1CC(=O)OC2=CC=CC=C21,"InChI=1S/C9H8O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-4H,5-6H2",VMUXSMXIQBNMGZ-UHFFFAOYSA-N
Ethanol,Industrial,702,C2H6O,46.07,-0.1,1,1,20.2,CCO,PubChem,,,,Structure_PubChem,46.069,-0.0014,1,1,20.23,3,0,0,,,,,46.069,,C2H6O,,,,,,,,,,,Trouvé,,,,CID_702,Ethanol,ethanol,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N
Hydroquinone,Industrial,785,C6H6O2,110.11,0.6,2,2,40.5,C1=CC(=CC=C1O)O,PubChem,,,,Structure_PubChem,110.112,1.0978,2,2,40.46,8,1,0,,,,,110.112,,C6H6O2,,,,,,,,,,,Trouvé,,,,CID_785,Hydroquinone,"benzene-1,4-diol",C1=CC(=CC=C1O)O,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H",QIGBRXMKCJKVMJ-UHFFFAOYSA-N
Methanol,Industrial,887,CH4O,32.042,-0.5,1,1,20.2,CO,PubChem,,,,Structure_PubChem,32.042,-0.3915,1,1,20.23,2,0,0,,,,,32.042,,CH4O,,,,,,,,,,,Trouvé,,,,CID_887,Methanol,methanol,CO,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N
Phenol,Industrial,996,C6H6O,94.11,1.5,1,1,20.2,C1=CC=C(C=C1)O,PubChem,,,,Structure_PubChem,94.113,1.3922,1,1,20.23,7,1,0,,,,,94.113,,C6H6O,,,,,,,,,,,Trouvé,,,,CID_996,Phenol,phenol,C1=CC=C(C=C1)O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N
1-Propanol,Industrial,1031,C3H8O,60.1,0.3,1,1,20.2,CCCO,PubChem,,,,Structure_PubChem,60.096,0.3887,1,1,20.23,4,0,1,,,,,60.096,,C3H8O,,,,,,,,,,,Trouvé,,,,CID_1031,1-Propanol,propan-1-ol,CCCO,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",BDERNNFJNOPAEC-UHFFFAOYSA-N
Pyrogallol,Industrial,1057,C6H6O3,126.11,0.5,3,3,60.7,C1=CC(=C(C(=C1)O)O)O,PubChem,,,,Structure_PubChem,126.111,0.8034,3,3,60.69,9,1,0,,,,,126.111,,C6H6O3,,,,,,,,,,,Trouvé,,,,CID_1057,Pyrogallol,"benzene-1,2,3-triol",C1=CC(=C(C(=C1)O)O)O,"InChI=1S/C6H6O3/c7-4-2-1-3-5(8)6(4)9/h1-3,7-9H",WQGWDDDVZFFDIG-UHFFFAOYSA-N
Toluene,Industrial,1140,C7H8,92.14,2.7,0,0,0.0,CC1=CC=CC=C1,PubChem,,,,Structure_PubChem,92.141,1.995,0,0,0.0,7,1,0,,,,,92.141,,C7H8,,,,,,,,,,,Trouvé,,,,CID_1140,Toluene,toluene,CC1=CC=CC=C1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",YXFVVABEGXRONW-UHFFFAOYSA-N
"2,4-Dihydroxybenzoic Acid",Industrial,1491,C7H6O4,154.12,1.6,3,4,77.8,C1=CC(=C(C=C1O)O)C(=O)O,PubChem,,,,Structure_PubChem,154.121,0.796,3,3,77.76,11,1,1,,,,,154.121,1491.0,C7H6O4,154.12,1.6,3.0,4.0,77.8,11.0,,1.0,C1=CC(=C(C=C1O)O)C(=O)O,"2,4-dihydroxybenzoic acid",Trouvé,11.0,1.0,1.0,CID_1491,"2,4-Dihydroxybenzoic Acid","2,4-dihydroxybenzoic acid",C1=CC(=C(C=C1O)O)C(=O)O,"InChI=1S/C7H6O4/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3,8-9H,(H,10,11)",UIAFKZKHHVMJGS-UHFFFAOYSA-N
4-Nonylphenol,Industrial,1752,C15H24O,220.35,5.9,1,1,20.2,CCCCCCCCCC1=CC=C(C=C1)O,PubChem,,,,Structure_PubChem,220.356,4.6853,1,1,20.23,16,1,8,,,,,220.356,,C15H24O,,,,,,,,,,,Trouvé,,,,CID_1752,4-Nonylphenol,4-nonylphenol,CCCCCCCCCC1=CC=C(C=C1)O,"InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-9-14-10-12-15(16)13-11-14/h10-13,16H,2-9H2,1H3",IGFHQQFPSIBGKE-UHFFFAOYSA-N
Aspirin,Industrial,2244,C9H8O4,180.16,1.2,1,4,63.6,CC(=O)OC1=CC=CC=C1C(=O)O,PubChem,,,,Structure_PubChem,180.159,1.3101,1,3,63.6,13,1,2,,,,,180.159,2244.0,C9H8O4,180.16,1.2,1.0,4.0,63.6,13.0,,3.0,CC(=O)OC1=CC=CC=C1C(=O)O,2-acetyloxybenzoic acid,Trouvé,13.0,1.0,2.0,CID_2244,Aspirin,2-acetyloxybenzoic acid,CC(=O)OC1=CC=CC=C1C(=O)O,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",BSYNRYMUTXBXSQ-UHFFFAOYSA-N
Chromocarb,Industrial,2741,C10H6O4,190.15,1.6,1,4,63.6,C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O,PubChem,,,,Structure_PubChem,190.154,1.4912,1,3,67.51,14,2,1,,,,,190.154,,C10H6O4,,,,,,,,,,,Trouvé,,,,CID_2741,Chromocarb,4-oxochromene-2-carboxylic acid,C1=CC=C2C(=C1)C(=O)C=C(O2)C(=O)O,"InChI=1S/C10H6O4/c11-7-5-9(10(12)13)14-8-4-2-1-3-6(7)8/h1-5H,(H,12,13)",RVMGXWBCQGAWBR-UHFFFAOYSA-N
P-Cresol,Industrial,2879,C7H8O,108.14,1.9,1,1,20.2,CC1=CC=C(C=C1)O,PubChem,,,,Structure_PubChem,108.14,1.7006,1,1,20.23,8,1,0,,,,,108.14,,C7H8O,,,,,,,,,,,Trouvé,,,,CID_2879,P-Cresol,4-methylphenol,CC1=CC=C(C=C1)O,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",IWDCLRJOBJJRNH-UHFFFAOYSA-N
Fosfosal,Industrial,3418,C7H7O6P,218.1,0.0,3,6,104.0,C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O,PubChem,,,,Structure_PubChem,218.101,0.8563,3,3,104.06,14,1,3,,,,,218.101,,C7H7O6P,,,,,,,,,,,Trouvé,,,,CID_3418,Fosfosal,2-phosphonooxybenzoic acid,C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O,"InChI=1S/C7H7O6P/c8-7(9)5-3-1-2-4-6(5)13-14(10,11)12/h1-4H,(H,8,9)(H2,10,11,12)",FFKUDWZICMJVPA-UHFFFAOYSA-N
"2,5-Dihydroxybenzoic acid",Industrial,3469,C7H6O4,154.12,1.6,3,4,77.8,C1=CC(=C(C=C1O)C(=O)O)O,PubChem,,,,Structure_PubChem,154.121,0.796,3,3,77.76,11,1,1,,,,,154.121,,C7H6O4,,,,,,,,,,,Trouvé,,,,CID_3469,"2,5-Dihydroxybenzoic acid","2,5-dihydroxybenzoic acid",C1=CC(=C(C=C1O)C(=O)O)O,"InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)",WXTMDXOMEHJXQO-UHFFFAOYSA-N
Methyl Salicylate,Industrial,4133,C8H8O3,152.15,2.3,1,3,46.5,COC(=O)C1=CC=CC=C1O,PubChem,,,,Structure_PubChem,152.149,1.1788,1,3,46.53,11,1,1,,,,,152.149,,C8H8O3,,,,,,,,,,,Trouvé,,,,CID_4133,Methyl Salicylate,methyl 2-hydroxybenzoate,COC(=O)C1=CC=CC=C1O,"InChI=1S/C8H8O3/c1-11-8(10)6-4-2-3-5-7(6)9/h2-5,9H,1H3",OSWPMRLSEDHDFF-UHFFFAOYSA-N
2-Hydroxy-4-methoxybenzophenone,Industrial,4632,C14H12O3,228.24,3.6,1,3,46.5,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,PubChem,,,,Structure_PubChem,228.247,2.6318,1,3,46.53,17,2,3,,,,,228.247,,C14H12O3,,,,,,,,,,,Trouvé,,,,CID_4632,2-Hydroxy-4-methoxybenzophenone,(2-hydroxy-4-methoxyphenyl)-phenylmethanone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,"InChI=1S/C14H12O3/c1-17-11-7-8-12(13(15)9-11)14(16)10-5-3-2-4-6-10/h2-9,15H,1H3",DXGLGDHPHMLXJC-UHFFFAOYSA-N
4-Chlorophenol,Industrial,4684,C6H5ClO,128.55,2.4,1,1,20.2,C1=CC(=CC=C1O)Cl,PubChem,,,,Structure_PubChem,128.558,2.0456,1,1,20.23,8,1,0,,,,,128.558,,C6H5ClO,,,,,,,,,,,Trouvé,,,,CID_4684,4-Chlorophenol,4-chlorophenol,C1=CC(=CC=C1O)Cl,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",WXNZTHHGJRFXKQ-UHFFFAOYSA-N
4-Hydroxybenzenesulfonic acid,Industrial,4765,C6H6O4S,174.18,0.2,2,4,83.0,C1=CC(=CC=C1O)S(=O)(=O)O,PubChem,,,,Structure_PubChem,174.177,0.6389,2,3,74.6,11,1,1,,,,,174.177,,C6H6O4S,,,,,,,,,,,Trouvé,,,,CID_4765,4-Hydroxybenzenesulfonic acid,4-hydroxybenzenesulfonic acid,C1=CC(=CC=C1O)S(=O)(=O)O,"InChI=1S/C6H6O4S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4,7H,(H,8,9,10)",FEPBITJSIHRMRT-UHFFFAOYSA-N
Phenylarsine Oxide,Industrial,4778,C6H5AsO,168.02,,0,1,17.1,C1=CC=C(C=C1)[As]=O,PubChem,,,,Structure_PubChem,168.027,0.3616,0,1,17.07,8,1,1,,,,,168.027,,C6H5AsO,,,,,,,,,,,Trouvé,,,,CID_4778,Phenylarsine Oxide,arsorosobenzene,C1=CC=C(C=C1)[As]=O,InChI=1S/C6H5AsO/c8-7-6-4-2-1-3-5-6/h1-5H,BQVCCPGCDUSGOE-UHFFFAOYSA-N
Resorcinol,Industrial,5054,C6H6O2,110.11,0.8,2,2,40.5,C1=CC(=CC(=C1)O)O,PubChem,,,,Structure_PubChem,110.112,1.0978,2,2,40.46,8,1,0,,,,,110.112,,C6H6O2,,,,,,,,,,,Trouvé,,,,CID_5054,Resorcinol,"benzene-1,3-diol",C1=CC(=CC(=C1)O)O,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",GHMLBKRAJCXXBS-UHFFFAOYSA-N
2-Iodotoluene,Industrial,5128,C7H7I,218.03,2.9,0,0,0.0,CC1=CC=CC=C1I,PubChem,,,,Structure_PubChem,218.037,2.5996,0,0,0.0,8,1,0,,,,,218.037,,C7H7I,,,,,,,,,,,Trouvé,,,,CID_5128,2-Iodotoluene,1-iodo-2-methylbenzene,CC1=CC=CC=C1I,"InChI=1S/C7H7I/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",RINOYHWVBUKAQE-UHFFFAOYSA-N
Salicyl Alcohol,Industrial,5146,C7H8O2,124.14,0.7,2,2,40.5,C1=CC=C(C(=C1)CO)O,PubChem,,,,Structure_PubChem,124.139,0.8845,2,2,40.46,9,1,1,,,,,124.139,,C7H8O2,,,,,,,,,,,Trouvé,,,,CID_5146,Salicyl Alcohol,2-(hydroxymethyl)phenol,C1=CC=C(C(=C1)CO)O,"InChI=1S/C7H8O2/c8-5-6-3-1-2-4-7(6)9/h1-4,8-9H,5H2",CQRYARSYNCAZFO-UHFFFAOYSA-N
Salsalate,Industrial,5161,C14H10O5,258.23,3.0,2,5,83.8,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,PubChem,,,,Structure_PubChem,258.229,2.3096,2,4,83.83,19,2,3,,,,,258.229,,C14H10O5,,,,,,,,,,,Trouvé,,,,CID_5161,Salsalate,2-(2-hydroxybenzoyl)oxybenzoic acid,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,"InChI=1S/C14H10O5/c15-11-7-3-1-5-9(11)14(18)19-12-8-4-2-6-10(12)13(16)17/h1-8,15H,(H,16,17)",WVYADZUPLLSGPU-UHFFFAOYSA-N
"Se,Se'-(1,4-Phenylenebis(methylene)) diselenocyanate",Industrial,5708,C10H8N2Se2,314.1,,0,2,47.6,C1=CC(=CC=C1C[Se]C#N)C[Se]C#N,PubChem,,,,Structure_PubChem,314.108,1.0572,0,2,47.58,14,1,4,,,,,314.108,,C10H8N2Se2,,,,,,,,,,,Trouvé,,,,CID_5708,"Se,Se'-(1,4-Phenylenebis(methylene)) diselenocyanate",[4-(selenocyanatomethyl)phenyl]methyl selenocyanate,C1=CC(=CC=C1C[Se]C#N)C[Se]C#N,"InChI=1S/C10H8N2Se2/c11-7-13-5-9-1-2-10(4-3-9)6-14-8-12/h1-4H,5-6H2",QFTBWTJGZHUOAW-UHFFFAOYSA-N
2-Hydroxy-p-toluic acid,Industrial,5788,C8H8O3,152.15,3.0,2,3,57.5,CC1=CC(=C(C=C1)C(=O)O)O,PubChem,,,,Structure_PubChem,152.149,1.3988,2,2,57.53,11,1,1,,,,,152.149,,C8H8O3,,,,,,,,,,,Trouvé,,,,CID_5788,2-Hydroxy-p-toluic acid,2-hydroxy-4-methylbenzoic acid,CC1=CC(=C(C=C1)C(=O)O)O,"InChI=1S/C8H8O3/c1-5-2-3-6(8(10)11)7(9)4-5/h2-4,9H,1H3,(H,10,11)",NJESAXZANHETJV-UHFFFAOYSA-N
Triphenylethylene,Industrial,6025,C20H16,256.3,6.1,0,0,0.0,C1=CC=C(C=C1)C=C(C2=CC=CC=C2)C3=CC=CC=C3,PubChem,,,,Structure_PubChem,256.348,5.2755,0,0,0.0,20,3,3,,,,,256.348,,C20H16,,,,,,,,,,,Trouvé,,,,CID_6025,Triphenylethylene,"1,2-diphenylethenylbenzene",C1=CC=C(C=C1)C=C(C2=CC=CC=C2)C3=CC=CC=C3,InChI=1S/C20H16/c1-4-10-17(11-5-1)16-20(18-12-6-2-7-13-18)19-14-8-3-9-15-19/h1-16H,MKYQPGPNVYRMHI-UHFFFAOYSA-N
Methyl Ethyl Ketone,Industrial,6569,C4H8O,72.11,0.3,0,1,17.1,CCC(=O)C,PubChem,,,,Structure_PubChem,72.107,0.9854,0,1,17.07,5,0,1,,,,,72.107,,C4H8O,,,,,,,,,,,Trouvé,,,,CID_6569,Methyl Ethyl Ketone,butan-2-one,CCC(=O)C,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",ZWEHNKRNPOVVGH-UHFFFAOYSA-N
3-Methylsalicylic Acid,Industrial,6738,C8H8O3,152.15,2.9,2,3,57.5,CC1=C(C(=CC=C1)C(=O)O)O,PubChem,,,,Structure_PubChem,152.149,1.3988,2,2,57.53,11,1,1,,,,,152.149,,C8H8O3,,,,,,,,,,,Trouvé,,,,CID_6738,3-Methylsalicylic Acid,2-hydroxy-3-methylbenzoic acid,CC1=C(C(=CC=C1)C(=O)O)O,"InChI=1S/C8H8O3/c1-5-3-2-4-6(7(5)9)8(10)11/h2-4,9H,1H3,(H,10,11)",WHSXTWFYRGOBGO-UHFFFAOYSA-N
"2,2'-Dihydroxy-4-(octyloxy)benzophenone",Industrial,6801,C21H26O4,342.4,6.5,2,4,66.8,CCCCCCCCOC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O,PubChem,,,,Structure_PubChem,342.435,5.0681,2,4,66.76,25,2,10,,,,,342.435,,C21H26O4,,,,,,,,,,,Trouvé,,,,CID_6801,"2,2'-Dihydroxy-4-(octyloxy)benzophenone",(2-hydroxy-4-octoxyphenyl)-(2-hydroxyphenyl)methanone,CCCCCCCCOC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O,"InChI=1S/C21H26O4/c1-2-3-4-5-6-9-14-25-16-12-13-18(20(23)15-16)21(24)17-10-7-8-11-19(17)22/h7-8,10-13,15,22-23H,2-6,9,14H2,1H3",XRCGPZWJUXJKJF-UHFFFAOYSA-N
Isobutyl salicylate,Industrial,6873,C11H14O3,194.23,3.9,1,3,46.5,CC(C)COC(=O)C1=CC=CC=C1O,PubChem,,,,Structure_PubChem,194.23,2.205,1,3,46.53,14,1,3,,,,,194.23,,C11H14O3,,,,,,,,,,,Trouvé,,,,CID_6873,Isobutyl salicylate,2-methylpropyl 2-hydroxybenzoate,CC(C)COC(=O)C1=CC=CC=C1O,"InChI=1S/C11H14O3/c1-8(2)7-14-11(13)9-5-3-4-6-10(9)12/h3-6,8,12H,7H2,1-2H3",PTXDBYSCVQQBNF-UHFFFAOYSA-N
Isoamyl salicylate,Industrial,6874,C12H16O3,208.25,4.6,1,3,46.5,CC(C)CCOC(=O)C1=CC=CC=C1O,PubChem,,,,Structure_PubChem,208.257,2.5951,1,3,46.53,15,1,4,,,,,208.257,,C12H16O3,,,,,,,,,,,Trouvé,,,,CID_6874,Isoamyl salicylate,3-methylbutyl 2-hydroxybenzoate,CC(C)CCOC(=O)C1=CC=CC=C1O,"InChI=1S/C12H16O3/c1-9(2)7-8-15-12(14)10-5-3-4-6-11(10)13/h3-6,9,13H,7-8H2,1-2H3",PMGCQNGBLMMXEW-UHFFFAOYSA-N
Glycol Salicylate,Industrial,6880,C9H10O4,182.17,1.9,2,4,66.8,C1=CC=C(C(=C1)C(=O)OCCO)O,PubChem,,,,Structure_PubChem,182.175,0.5413,2,4,66.76,13,1,3,,,,,182.175,,C9H10O4,,,,,,,,,,,Trouvé,,,,CID_6880,Glycol Salicylate,2-hydroxyethyl 2-hydroxybenzoate,C1=CC=C(C(=C1)C(=O)OCCO)O,"InChI=1S/C9H10O4/c10-5-6-13-9(12)7-3-1-2-4-8(7)11/h1-4,10-11H,5-6H2",LVYLCBNXHHHPSB-UHFFFAOYSA-N
2-Isopropylphenol,Industrial,6943,C9H12O,136.19,2.9,1,1,20.2,CC(C)C1=CC=CC=C1O,PubChem,,,,Structure_PubChem,136.194,2.5156,1,1,20.23,10,1,1,,,,,136.194,,C9H12O,,,,,,,,,,,Trouvé,,,,CID_6943,2-Isopropylphenol,2-propan-2-ylphenol,CC(C)C1=CC=CC=C1O,"InChI=1S/C9H12O/c1-7(2)8-5-3-4-6-9(8)10/h3-7,10H,1-2H3",CRBJBYGJVIBWIY-UHFFFAOYSA-N
5-Methylsalicylic acid,Industrial,6973,C8H8O3,152.15,2.8,2,3,57.5,CC1=CC(=C(C=C1)O)C(=O)O,PubChem,,,,Structure_PubChem,152.149,1.3988,2,2,57.53,11,1,1,,,,,152.149,,C8H8O3,,,,,,,,,,,Trouvé,,,,CID_6973,5-Methylsalicylic acid,2-hydroxy-5-methylbenzoic acid,CC1=CC(=C(C=C1)O)C(=O)O,"InChI=1S/C8H8O3/c1-5-2-3-7(9)6(4-5)8(10)11/h2-4,9H,1H3,(H,10,11)",DLGBEGBHXSAQOC-UHFFFAOYSA-N
2-sec-Butylphenol,Industrial,6984,C10H14O,150.22,3.4,1,1,20.2,CCC(C)C1=CC=CC=C1O,PubChem,,,,Structure_PubChem,150.221,2.9057,1,1,20.23,11,1,2,,,,,150.221,,C10H14O,,,,,,,,,,,Trouvé,,,,CID_6984,2-sec-Butylphenol,2-butan-2-ylphenol,CCC(C)C1=CC=CC=C1O,"InChI=1S/C10H14O/c1-3-8(2)9-6-4-5-7-10(9)11/h4-8,11H,3H2,1-2H3",NGFPWHGISWUQOI-UHFFFAOYSA-N
o-Xylyl bromide,Industrial,6992,C8H9Br,185.06,3.0,0,0,0.0,CC1=CC=CC=C1CBr,PubChem,,,,Structure_PubChem,185.064,2.8899,0,0,0.0,9,1,1,,,,,185.064,,C8H9Br,,,,,,,,,,,Trouvé,,,,CID_6992,o-Xylyl bromide,1-(bromomethyl)-2-methylbenzene,CC1=CC=CC=C1CBr,"InChI=1S/C8H9Br/c1-7-4-2-3-5-8(7)6-9/h2-5H,6H2,1H3",WGVYCXYGPNNUQA-UHFFFAOYSA-N
2-Ethylphenol,Industrial,6997,C8H10O,122.16,2.5,1,1,20.2,CCC1=CC=CC=C1O,PubChem,,,,Structure_PubChem,122.167,1.9546,1,1,20.23,9,1,1,,,,,122.167,,C8H10O,,,,,,,,,,,Trouvé,,,,CID_6997,2-Ethylphenol,2-ethylphenol,CCC1=CC=CC=C1O,"InChI=1S/C8H10O/c1-2-7-5-3-4-6-8(7)9/h3-6,9H,2H2,1H3",IXQGCWUGDFDQMF-UHFFFAOYSA-N
Mercufenol Chloride,Industrial,6999,C6H5ClHgO,329.15,,1,1,20.2,C1=CC=C(C(=C1)O)[Hg]Cl,PubChem,,,,Structure_PubChem,329.148,1.2538,1,1,20.23,9,1,1,,,,,329.148,,C6H5ClHgO,,,,,,,,,,,Trouvé,,,,CID_6999,Mercufenol Chloride,chloro-(2-hydroxyphenyl)mercury,C1=CC=C(C(=C1)O)[Hg]Cl,"InChI=1S/C6H5O.ClH.Hg/c7-6-4-2-1-3-5-6;;/h1-4,7H;1H;/q;;+1/p-1",GABVDWALKPAUEQ-UHFFFAOYSA-M
