Nom,Categorie,CID,Formule,Masse_molaire,LogP,HBD,HBA,TPSA,SMILES,Source_structure,Source_toxicologie,Plante,Partie_utilisee,Statut_donnees,RDKit_Masse_molaire,RDKit_LogP,RDKit_HBD,RDKit_HBA,RDKit_TPSA,Atomes_lourds,Anneaux,Liaisons_rotatables,LD50_mg_kg,LogLD50,Toxicite,Risque,RKdit_masse_molaire,PubChem_CID,Formule_PubChem,Masse_molaire_PubChem,LogP_PubChem,HBD_PubChem,HBA_PubChem,TPSA_PubChem,Atomes_lourds_PubChem,Anneaux_PubChem,Liaisons_rotatables_PubChem,SMILES_isomerique,IUPAC_Name,PubChem_Statut,RDKit_Atomes_lourds,RDKit_Anneaux,RDKit_Liaisons_rotatables,Nom_original,Nom_PubChem,IUPAC_Name_PubChem,SMILES_PubChem,InChI_PubChem,InChIKey_PubChem
Tecarfarin,Industrial,54718618,C21H14F6O5,460.3,5.5,1,11,72.8,CC(C(F)(F)F)(C(F)(F)F)OC(=O)C1=CC=C(C=C1)CC2=C(C3=CC=CC=C3OC2=O)O,PubChem,,,,Structure_PubChem,460.326,5.1295,1,5,76.74,32,3,4,,,,,460.326,,C21H14F6O5,,,,,,,,,,,Trouvé,,,,CID_54718618,Tecarfarin,"(1,1,1,3,3,3-hexafluoro-2-methylpropan-2-yl) 4-[(4-hydroxy-2-oxochromen-3-yl)methyl]benzoate",CC(C(F)(F)F)(C(F)(F)F)OC(=O)C1=CC=C(C=C1)CC2=C(C3=CC=CC=C3OC2=O)O,"InChI=1S/C21H14F6O5/c1-19(20(22,23)24,21(25,26)27)32-17(29)12-8-6-11(7-9-12)10-14-16(28)13-4-2-3-5-15(13)31-18(14)30/h2-9,28H,10H2,1H3",QFLNTQDOVCLQKW-UHFFFAOYSA-N
"S,R-Warfarin alcohol",Industrial,54723704,C19H18O4,310.3,2.6,2,4,66.8,C[C@H](C[C@@H](C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O)O,PubChem,,,,Structure_PubChem,310.349,3.4014,2,4,70.67,23,3,4,,,,,310.349,,C19H18O4,,,,,,,,,,,Trouvé,,,,CID_54723704,"S,R-Warfarin alcohol","4-hydroxy-3-[(1S,3R)-3-hydroxy-1-phenylbutyl]chromen-2-one",C[C@H](C[C@@H](C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O)O,"InChI=1S/C19H18O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,12,15,20-21H,11H2,1H3/t12-,15+/m1/s1",ZUJMMGHIYSAEOU-DOMZBBRYSA-N
"R,S-Warfarin alcohol",Industrial,54736486,C19H18O4,310.3,2.6,2,4,66.8,C[C@@H](C[C@H](C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O)O,PubChem,,,,Structure_PubChem,310.349,3.4014,2,4,70.67,23,3,4,,,,,310.349,,C19H18O4,,,,,,,,,,,Trouvé,,,,CID_54736486,"R,S-Warfarin alcohol","4-hydroxy-3-[(1R,3S)-3-hydroxy-1-phenylbutyl]chromen-2-one",C[C@@H](C[C@H](C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O)O,"InChI=1S/C19H18O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,12,15,20-21H,11H2,1H3/t12-,15+/m0/s1",ZUJMMGHIYSAEOU-SWLSCSKDSA-N
"n-Propyl-1,1,3,3,3-d5 Alcohol",Industrial,56845858,C3H8O,65.13,0.3,1,1,20.2,[2H]C([2H])([2H])CC([2H])([2H])O,PubChem,,,,Structure_PubChem,65.1265,0.3887,1,1,20.23,4,0,1,,,,,65.1265,,C3H8O,,,,,,,,,,,Trouvé,,,,CID_56845858,"n-Propyl-1,1,3,3,3-d5 Alcohol","1,1,3,3,3-pentadeuteriopropan-1-ol",[2H]C([2H])([2H])CC([2H])([2H])O,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3/i1D3,3D2",BDERNNFJNOPAEC-WNWXXORZSA-N
CID 57417196,Industrial,57417196,C3H7O,59.09,0.3,1,1,20.2,C[CH]CO,PubChem,,,,Structure_PubChem,59.088,0.2029,1,1,20.23,4,0,1,,,,,59.088,,C3H7O,,,,,,,,,,,Trouvé,,,,CID_57417196,CID 57417196,,C[CH]CO,"InChI=1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3",WNTIOWHNXOLOTD-UHFFFAOYSA-N
Propan-2-one;titanium,Industrial,57418895,C3H6OTi,105.95,,0,1,17.1,CC(=O)C.[Ti],PubChem,,,,Structure_PubChem,105.947,0.5928,0,1,17.07,5,0,0,,,,,105.947,,C3H6OTi,,,,,,,,,,,Trouvé,,,,CID_57418895,Propan-2-one;titanium,propan-2-one;titanium,CC(=O)C.[Ti],InChI=1S/C3H6O.Ti/c1-3(2)4;/h1-2H3;,NICYNNGYHJJJMJ-UHFFFAOYSA-N
EtOH Ethanol,Industrial,57419690,C4H12O2,92.14,,2,2,40.5,CCO.CCO,PubChem,,,,Structure_PubChem,92.138,-0.0028,2,2,40.46,6,0,0,,,,,92.138,,C4H12O2,,,,,,,,,,,Trouvé,,,,CID_57419690,EtOH Ethanol,ethanol,CCO.CCO,"InChI=1S/2C2H6O/c2*1-2-3/h2*3H,2H2,1H3",OCLXJTCGWSSVOE-UHFFFAOYSA-N
Americium;ethanol,Industrial,57420538,C2H5AmO-,288.12,,1,2,20.2,[CH2-]CO.[Am],PubChem,,,,Structure_PubChem,288.061,-0.1872,1,1,20.23,4,0,0,,,,,288.061,,C2H5AmO-,,,,,,,,,,,Trouvé,,,,CID_57420538,Americium;ethanol,americium;ethanol,[CH2-]CO.[Am],"InChI=1S/C2H5O.Am/c1-2-3;/h3H,1-2H2;/q-1;",TUCCUKXCVWMJHG-UHFFFAOYSA-N
Iron;propan-2-one,Industrial,57422096,C3H6FeO,113.92,,0,1,17.1,CC(=O)C.[Fe],PubChem,,,,Structure_PubChem,113.925,0.5928,0,1,17.07,5,0,0,,,,,113.925,,C3H6FeO,,,,,,,,,,,Trouvé,,,,CID_57422096,Iron;propan-2-one,iron;propan-2-one,CC(=O)C.[Fe],InChI=1S/C3H6O.Fe/c1-3(2)4;/h1-2H3;,RTQMYJXQIDQHMH-UHFFFAOYSA-N
CID 57440315,Industrial,57440315,C3H6LiO,65.0,,0,1,17.1,[Li].CC(=O)C,PubChem,,,,Structure_PubChem,65.021,0.2145,0,1,17.07,5,0,0,,,,,65.021,,C3H6LiO,,,,,,,,,,,Trouvé,,,,CID_57440315,CID 57440315,,[Li].CC(=O)C,InChI=1S/C3H6O.Li/c1-3(2)4;/h1-2H3;,QKBNDJRSDDTNDX-UHFFFAOYSA-N
